x,y,,,,,,,
11.80056,5.07E-05,,,,,,,
11.90065,5.15E-05,,,,,,,
12.00075,5.22E-05,,,,,,,
12.10051,5.28E-05,,,,,,,
12.20062,5.34E-05,,,,,,,
12.30073,5.41E-05,,,,,,,
12.4008,5.48E-05,,,,,,,
12.50055,5.55E-05,,,,,,,
12.60062,5.62E-05,,,,,,,
12.70069,5.69E-05,,,,,,,
12.80078,5.77E-05,,,,,,,
12.9005,5.85E-05,,,,,,,
13.00052,5.90E-05,,,,,,,
13.1006,5.98E-05,,,,,,,
13.20066,6.05E-05,,,,,,,
13.30041,6.12E-05,,,,,,,
13.40048,6.19E-05,,,,,,,
13.50055,6.14E-05,,,,,,,
13.60063,6.07E-05,,,,,,,
13.70039,6.12E-05,,,,,,,
13.80046,6.20E-05,,,,,,,
13.90054,6.27E-05,,,,,,,
14.00062,6.30E-05,,,,,,,
14.10038,6.37E-05,,,,,,,
14.20044,6.44E-05,,,,,,,
14.30046,6.49E-05,,,,,,,
14.40054,6.54E-05,,,,,,,
14.50028,6.61E-05,,,,,,,
14.60037,6.67E-05,,,,,,,
14.70046,6.75E-05,,,,,,,
14.80052,6.81E-05,,,,,,,
14.90026,6.88E-05,,,,,,,
15.00037,6.95E-05,,,,,,,
15.10044,7.02E-05,,,,,,,
15.20049,7.09E-05,,,,,,,
15.30023,7.15E-05,,,,,,,
15.40028,7.21E-05,,,,,,,
15.50034,7.29E-05,,,,,,,
15.6004,7.35E-05,,,,,,,
15.70007,7.41E-05,,,,,,,
15.8001,7.51E-05,,,,,,,
15.90016,7.57E-05,,,,,,,
16.00022,7.63E-05,,,,,,,
16.09995,7.70E-05,,,,,,,
16.20001,7.79E-05,,,,,,,
16.30005,7.85E-05,,,,,,,
16.40014,7.92E-05,,,,,,,
16.49987,7.98E-05,,,,,,,
16.59997,8.05E-05,,,,,,,
16.70004,8.11E-05,,,,,,,
16.80013,8.19E-05,,,,,,,
16.89988,8.28E-05,,,,,,,
16.99994,8.35E-05,,,,,,,
17.09996,8.39E-05,,,,,,,
17.20004,8.46E-05,,,,,,,
17.29979,8.52E-05,,,,,,,
17.39988,8.58E-05,,,,,,,
17.49996,8.66E-05,,,,,,,
17.59969,8.74E-05,,,,,,,
17.69978,8.80E-05,,,,,,,
17.79988,8.88E-05,,,,,,,
17.89994,8.97E-05,,,,,,,
17.99969,9.04E-05,,,,,,,
18.09976,9.10E-05,,,,,,,
18.19983,9.18E-05,,,,,,,
18.2999,9.24E-05,,,,,,,
18.39956,9.31E-05,,,,,,,
18.49964,9.39E-05,,,,,,,
18.59971,9.43E-05,,,,,,,
18.69978,9.51E-05,,,,,,,
18.79952,9.56E-05,,,,,,,
18.89958,9.66E-05,,,,,,,
18.99964,9.72E-05,,,,,,,
19.09975,9.80E-05,,,,,,,
19.19952,9.87E-05,,,,,,,
19.29959,9.94E-05,,,,,,,
19.39969,1.00E-04,,,,,,,
19.4998,1.01E-04,,,,,,,
19.59955,1.02E-04,,,,,,,
19.69964,1.02E-04,,,,,,,
19.79967,1.03E-04,,,,,,,
19.89975,1.04E-04,,,,,,,
19.9995,1.05E-04,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
